"extension","instruction form","class","level0","level1","level2"
"avx512dq","VCVTQQ2PSX X, K, X","turbo0","1117199721","0","0"
"avx512dq","VCVTQQ2PSX mem, K, X","turbo0","1133609283","0","0"
"avx512dq","VCVTQQ2PSY Y, K, X","turbo1","4926936","1116403128","0"
"avx512dq","VCVTQQ2PSY mem, K, X","turbo1","4222479","1134640653","0"
"avx512f","VCVTSD2SI X, reg","turbo0","1102798541","0","0"
"avx512f","VCVTSD2SS X, X, K, X","turbo0","1089117003","0","0"
"avx512f","VCVTSD2SS mem, X, K, X","turbo0","1103422636","0","0"
"avx512f","VCVTSD2USIL X, reg","turbo1","0","96397626","0"
"avx512f","VCVTSD2USIL mem, reg","turbo1","0","97527331","0"
"avx512f","VCVTSD2USIQ X, reg","turbo0","1113032324","0","0"
"avx512f","VCVTSD2USIQ mem, reg","turbo0","1123245026","0","0"
"avx512f","VCVTSI2SDL mem, X, X","turbo0","1088637745","0","0"
"avx512f","VCVTSI2SDL reg, X, X","turbo0","1110394863","0","0"
"avx512f","VCVTSI2SDQ mem, X, X","turbo0","1088528578","0","0"
"avx512f","VCVTSI2SDQ reg, X, X","turbo0","1109190544","0","0"
"avx512f","VCVTSI2SSL mem, X, X","turbo0","1088916477","0","0"
"avx512f","VCVTSI2SSL reg, X, X","turbo0","1109250795","0","0"
"avx512f","VCVTSS2SD X, X, K, X","turbo0","1155769132","0","0"
"avx512f","VCVTSS2SD mem, X, K, X","turbo0","1319699462","0","0"
"avx512f","VCVTSS2SI X, reg","turbo1","0","95589029","0"
"avx512f","VCVTSS2USIL X, reg","turbo1","0","93751303","0"
"avx512f","VCVTSS2USIL mem, reg","turbo1","0","93985240","0"
"avx512f","VCVTSS2USIQ X, reg","turbo0","1126613884","0","0"
"avx512f","VCVTSS2USIQ mem, reg","turbo0","1123385541","0","0"
"avx512f","VCVTTPD2DQ Z, K, Y","turbo2","4000002","44597","1179506009"
"avx512f","VCVTTPD2DQ mem, K, Y","turbo2","4302445","40457","1305074526"
"avx512f","VCVTTPD2DQX X, K, X","turbo0","1080578392","0","0"
"avx512f","VCVTTPD2DQX mem, K, X","turbo0","1102991940","0","0"
"avx512f","VCVTTPD2DQY Y, K, X","turbo1","4291886","1165068624","0"
"avx512f","VCVTTPD2DQY mem, K, X","turbo1","5009733","1235162939","0"
"avx512dq","VCVTTPD2QQ X, K, X","turbo0","1165532388","0","0"
"avx512dq","VCVTTPD2QQ Y, K, Y","turbo1","15535968","1126811946","0"
"avx512dq","VCVTTPD2QQ Z, K, Z","turbo2","4169974","44643","1121872108"
"avx512dq","VCVTTPD2QQ mem, K, X","turbo0","1161927447","0","0"
"avx512dq","VCVTTPD2QQ mem, K, Y","turbo1","4310736","1158502308","0"
"avx512dq","VCVTTPD2QQ mem, K, Z","turbo1","4156370","1189768258","0"
"avx512f","VCVTTPD2UDQ Z, K, Y","turbo2","4206457","44896","1179559526"
"avx512f","VCVTTPD2UDQ mem, K, Y","turbo2","4436185","44666","1304974159"
"avx512f","VCVTTPD2UDQX X, K, X","turbo0","1080250331","0","0"
"avx512f","VCVTTPD2UDQX mem, K, X","turbo0","1103121374","0","0"
"avx512f","VCVTTPD2UDQY Y, K, X","turbo1","4301730","1165095576","0"
"avx512f","VCVTTPD2UDQY mem, K, X","turbo1","4275949","1235256055","0"
"avx512dq","VCVTTPD2UQQ X, K, X","turbo0","1142423660","0","0"
"avx512dq","VCVTTPD2UQQ Y, K, Y","turbo1","4430221","1137881720","0"
"avx512dq","VCVTTPD2UQQ Z, K, Z","turbo2","4364608","52509","1208152352"
"avx512dq","VCVTTPD2UQQ mem, K, X","turbo0","1161851527","0","0"
"avx512dq","VCVTTPD2UQQ mem, K, Y","turbo1","4214236","1158793168","0"
"avx512dq","VCVTTPD2UQQ mem, K, Z","turbo1","4376010","1189540175","0"
"avx512f","VCVTTPS2DQ X, K, X","turbo0","1223131511","0","0"
"avx512f","VCVTTPS2DQ Y, K, Y","turbo0","1223084129","0","0"
"avx512f","VCVTTPS2DQ Z, K, Z","turbo2","4095428","39974","1118697963"
"avx512f","VCVTTPS2DQ mem, K, X","turbo0","1320169699","0","0"
"avx512f","VCVTTPS2DQ mem, K, Y","turbo0","1320512869","0","0"
"avx512f","VCVTTPS2DQ mem, K, Z","turbo1","4321793","1189658031","0"
"avx512dq","VCVTTPS2QQ X, K, X","turbo0","1164200028","0","0"
"avx512dq","VCVTTPS2QQ X, K, Y","turbo0","1200049094","0","0"
"avx512dq","VCVTTPS2QQ Y, K, Z","turbo2","4310526","44758","1137367049"
"avx512dq","VCVTTPS2QQ mem, K, X","turbo0","1161875785","0","0"
"avx512dq","VCVTTPS2QQ mem, K, Y","turbo1","4399012","1159430950","0"
"avx512dq","VCVTTPS2QQ mem, K, Z","turbo1","3936827","1199579059","0"
"avx512f","VCVTTPS2UDQ X, K, X","turbo0","1222790908","0","0"
"avx512f","VCVTTPS2UDQ Y, K, Y","turbo0","1222881917","0","0"
"avx512f","VCVTTPS2UDQ Z, K, Z","turbo2","4374403","40204","1118493210"
"avx512f","VCVTTPS2UDQ mem, K, X","turbo0","1320590379","0","0"
"avx512f","VCVTTPS2UDQ mem, K, Y","turbo0","1320344999","0","0"
"avx512f","VCVTTPS2UDQ mem, K, Z","turbo1","4500047","1189431679","0"
"avx512dq","VCVTTPS2UQQ X, K, X","turbo0","1145264419","0","0"
"avx512dq","VCVTTPS2UQQ X, K, Y","turbo1","4239826","1143406318","0"
"avx512dq","VCVTTPS2UQQ Y, K, Z","turbo2","5214898","44919","1137189660"
